iter	Passed	Remaining
0	121	24135
1	185	18327
2	248	16286
3	307	15082
4	390	15241
5	474	15346
6	536	14804
7	574	13795
8	605	12857
9	640	12163
10	681	11714
11	714	11199
12	744	10707
13	781	10384
14	816	10071
15	853	9812
16	914	9839
17	991	10029
18	1065	10148
19	1132	10194
20	1197	10208
21	1253	10140
22	1293	9957
23	1356	9945
24	1417	9921
25	1495	10005
26	1567	10046
27	1652	10149
28	1707	10066
29	1758	9967
30	1829	9975
31	1912	10042
32	1976	10003
33	2057	10043
34	2119	9994
35	2217	10103
36	2273	10014
37	2356	10046
38	2431	10038
39	2496	9985
40	2556	9914
41	2608	9813
42	2643	9651
43	2682	9512
44	2726	9392
45	2800	9374
46	2872	9349
47	2943	9321
48	2975	9170
49	3035	9107
50	3092	9036
51	3165	9010
52	3225	8946
53	3266	8832
54	3302	8705
55	3340	8589
56	3367	8447
57	3400	8324
58	3434	8207
59	3469	8095
60	3505	7986
61	3543	7886
62	3575	7774
63	3602	7654
64	3636	7552
65	3675	7461
66	3709	7362
67	3766	7312
68	3832	7276
69	3874	7194
70	3906	7097
71	3955	7031
72	4000	6959
73	4055	6906
74	4117	6861
75	4182	6824
76	4250	6789
77	4308	6738
78	4373	6698
79	4437	6656
80	4517	6637
81	4589	6603
82	4657	6565
83	4700	6491
84	4735	6406
85	4773	6328
86	4833	6277
87	4898	6234
88	4967	6195
89	5025	6142
90	5099	6108
91	5160	6058
92	5234	6023
93	5316	5995
94	5353	5917
95	5388	5837
96	5436	5772
97	5491	5715
98	5555	5667
99	5628	5628
100	5692	5579
101	5762	5536
102	5825	5486
103	5895	5442
104	5964	5396
105	6024	5342
106	6076	5281
107	6110	5205
108	6156	5139
109	6222	5090
110	6307	5057
111	6367	5003
