window,symbol,sentiment_index,total_engagement,avg_confidence,message_count
"{\"start\":\"2026-04-08T06:40:00.000+05:30\",\"end\":\"2026-04-08T06:45:00.000+05:30\"}",BTC,14.244899153709412,38,0.9633970260620117,2
"{\"start\":\"2026-04-08T11:00:00.000+05:30\",\"end\":\"2026-04-08T11:05:00.000+05:30\"}",BTC,-3.3706681728363037,4,0.8426670432090759,1
"{\"start\":\"2026-04-08T06:50:00.000+05:30\",\"end\":\"2026-04-08T06:55:00.000+05:30\"}",BTC,16.448645532131195,17,0.9675673842430115,1
"{\"start\":\"2026-04-08T16:15:00.000+05:30\",\"end\":\"2026-04-08T16:20:00.000+05:30\"}",BTC,32.77591913938522,35,0.9364548325538635,1
"{\"start\":\"2026-04-08T04:55:00.000+05:30\",\"end\":\"2026-04-08T05:00:00.000+05:30\"}",BTC,44.50761163234711,46,0.9675567746162415,1
"{\"start\":\"2026-04-08T12:00:00.000+05:30\",\"end\":\"2026-04-08T12:05:00.000+05:30\"}",BTC,4.6530598402023315,5,0.9306119680404663,1
"{\"start\":\"2026-04-08T10:30:00.000+05:30\",\"end\":\"2026-04-08T10:35:00.000+05:30\"}",BTC,-3.905263662338257,4,0.9763159155845642,1
"{\"start\":\"2026-04-08T05:15:00.000+05:30\",\"end\":\"2026-04-08T05:20:00.000+05:30\"}",BTC,39.651140093803406,41,0.967100977897644,1
"{\"start\":\"2026-04-08T12:15:00.000+05:30\",\"end\":\"2026-04-08T12:20:00.000+05:30\"}",BTC,89.80934339761734,93,0.965691864490509,1
"{\"start\":\"2026-04-08T05:30:00.000+05:30\",\"end\":\"2026-04-08T05:35:00.000+05:30\"}",BTC,13.500450015068054,14,0.9643178582191467,1
"{\"start\":\"2026-04-08T10:15:00.000+05:30\",\"end\":\"2026-04-08T10:20:00.000+05:30\"}",BTC,6.371370375156403,7,0.9101957678794861,1
"{\"start\":\"2026-04-08T15:10:00.000+05:30\",\"end\":\"2026-04-08T15:15:00.000+05:30\"}",BTC,3.1722354888916016,4,0.7930588722229004,1
"{\"start\":\"2026-04-08T16:45:00.000+05:30\",\"end\":\"2026-04-08T16:50:00.000+05:30\"}",BTC,-5.9398191049695015,58,0.8688546046614647,8
"{\"start\":\"2026-04-08T01:55:00.000+05:30\",\"end\":\"2026-04-08T02:00:00.000+05:30\"}",BTC,32.56775975227356,35,0.9305074214935303,1
"{\"start\":\"2026-04-08T09:10:00.000+05:30\",\"end\":\"2026-04-08T09:15:00.000+05:30\"}",BTC,4.848292171955109,5,0.9696584343910217,1
"{\"start\":\"2026-04-08T15:20:00.000+05:30\",\"end\":\"2026-04-08T15:25:00.000+05:30\"}",BTC,8.484613537788391,9,0.9427348375320435,1
"{\"start\":\"2026-04-07T20:20:00.000+05:30\",\"end\":\"2026-04-07T20:25:00.000+05:30\"}",BTC,24.370918035507202,26,0.9373430013656616,1
"{\"start\":\"2026-04-07T22:25:00.000+05:30\",\"end\":\"2026-04-07T22:30:00.000+05:30\"}",BTC,39.533921241760254,41,0.9642419815063477,1
"{\"start\":\"2026-04-07T20:15:00.000+05:30\",\"end\":\"2026-04-07T20:20:00.000+05:30\"}",BTC,12.443502247333527,13,0.9571924805641174,1
"{\"start\":\"2026-04-08T01:15:00.000+05:30\",\"end\":\"2026-04-08T01:20:00.000+05:30\"}",BTC,-79.34171533584595,92,0.8624099493026733,1
"{\"start\":\"2026-04-08T07:15:00.000+05:30\",\"end\":\"2026-04-08T07:20:00.000+05:30\"}",BTC,47.50887805223465,51,0.9315466284751892,1
